date,pm25
2021/9/4,154
2021/9/5,152
2021/9/6,150
2021/9/7,149
2021/9/8,146
2021/9/9,147
2021/9/10,146
2021/9/11,152
2021/9/12,151
2021/9/13,148
2021/9/14,150
2021/9/15,147
2021/9/16,150
2021/9/17,144
2021/9/18,140
2021/9/19,143
2021/9/20,149
2021/9/21,144
2021/9/22,150
2021/9/23,141
2021/9/24,138
2021/9/25,142
2021/9/26,140
2021/9/27,132
2021/9/28,131
2021/9/29,124
2021/9/30,135
2021/4/1,150
2021/4/2,145
2021/4/3,145
2021/4/4,124
2021/4/5,96
2021/4/6,87
2021/4/7,98
2021/4/8,75
2021/4/9,65
2021/4/10,79
2021/4/11,73
2021/4/12,80
2021/4/13,55
2021/4/14,61
2021/4/15,74
2021/4/16,74
2021/4/17,96
2021/4/18,100
2021/4/19,118
2021/4/20,100
2021/4/21,68
2021/4/22,86
2021/4/23,85
2021/4/24,70
2021/4/25,69
2021/4/26,79
2021/4/27,74
2021/4/28,74
2021/4/29,114
2021/4/30,75
2021/5/1,61
2021/5/2,58
2021/5/3,73
2021/5/4,121
2021/5/5,109
2021/5/6,87
2021/5/7,114
2021/5/8,99
2021/5/9,112
2021/5/10,98
2021/5/11,86
2021/5/12,83
2021/5/13,111
2021/5/14,114
2021/5/15,94
2021/5/16,110
2021/5/17,100
2021/5/18,104
2021/5/19,115
2021/5/20,101
2021/5/21,95
2021/5/22,116
2021/5/23,121
2021/5/24,102
2021/5/25,111
2021/5/26,113
2021/5/27,115
2021/5/28,113
2021/5/29,115
2021/5/30,123
2021/5/31,132
2021/6/1,131
2021/6/2,147
2021/6/3,129
2021/6/4,135
2021/6/5,139
2021/6/6,134
2021/6/7,141
2021/6/8,148
2021/6/9,148
2021/6/10,146
2021/6/11,158
2021/6/15,148
2021/6/16,149
2021/6/17,148
2021/6/18,147
2021/6/19,148
2021/6/20,145
2021/6/21,56
2021/6/22,103
2021/6/23,80
2021/6/24,91
2021/6/25,96
2021/6/26,98
2021/6/27,98
2021/6/28,103
2021/6/29,80
2021/6/30,95
2021/1/4,98
2021/1/5,98
2021/1/6,80
2021/1/7,92
2021/1/8,65
2021/1/9,70
2021/1/10,64
2021/1/11,61
2021/1/12,68
2021/1/13,73
2021/1/14,68
2021/1/15,76
2021/1/16,78
2021/1/17,86
2021/1/18,87
2021/1/19,93
2021/1/20,111
2021/1/21,160
2021/1/22,224
2021/1/23,212
2021/1/24,264
2021/1/25,197
2021/1/26,182
2021/1/27,166
2021/1/28,145
2021/1/29,130
2021/1/30,119
2021/1/31,97
2021/2/1,107
2021/2/2,119
2021/2/3,120
2021/2/4,129
2021/2/5,113
2021/2/6,99
2021/2/7,103
2021/2/8,120
2021/2/9,108
2021/2/10,100
2021/2/11,110
2021/2/12,107
2021/2/13,113
2021/2/14,90
2021/2/15,95
2021/2/16,85
2021/2/17,106
2021/2/18,192
2021/2/19,321
2021/2/20,370
2021/2/21,327
2021/2/22,198
2021/2/23,190
2021/2/24,179
2021/2/25,166
2021/2/26,149
2021/2/27,141
2021/2/28,130
2021/3/1,123
2021/3/2,126
2021/3/3,131
2021/3/4,120
2021/3/5,111
2021/3/6,113
2021/3/7,91
2021/3/8,90
2021/3/9,78
2021/3/10,83
2021/3/11,79
2021/3/12,90
2021/3/13,86
2021/3/14,76
2021/3/15,82
2021/3/16,67
2021/3/17,86
2021/3/18,113
2021/3/19,119
2021/3/20,62
2021/3/21,62
2021/3/22,65
2021/3/23,77
2021/3/24,119
2021/3/25,40
2021/3/26,83
2021/3/28,120
2021/3/29,132
2021/3/30,148
2021/3/31,149
